step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,0.0,boxes,3.55,0.8206,23.37,3.781,0.7551,21.42,,0.6874,4.223,0.8267,3.761,0.8206,3.781,0.068226,0.6625,2.353,0.9343,2.644,,,
step_02,0.0,boxes,1.2,0.9252,30.33,2.229,0.8535,9.07,,0.8274,2.74,0.9298,2.205,0.8232,3.645,0.067773,0.7091,2.323,0.9645,1.955,0.6175,5.944,
step_03,0.0,boxes,7.34,0.9426,31.14,2.113,0.8975,7.88,,0.8943,2.811,0.9489,2.022,0.9414,1.864,0.067779,0.7923,1.938,0.9714,1.921,0.5952,5.625,
step_04,0.0,boxes,5.15,0.949,31.77,2.057,0.8998,6.77,,0.8964,2.768,0.959,1.921,0.9763,1.414,0.068458,0.7948,1.987,0.9847,1.87,0.5659,6.01,
step_05,0.0,boxes,5.2,0.9541,31.71,2.117,0.9166,7.28,,0.9125,2.677,0.9635,1.991,0.9632,1.544,0.068303,0.7919,2.03,0.9897,1.849,0.519,6.452,
