step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,0.0,boxes,3.55,0.9999,58.87,0.014,0.9962,0.01,,0.9969,0.317,1.0,0.0,0.9999,0.014,0.067762,0.9904,0.193,1.0,0.0,,,
step_02,0.0,boxes,1.2,0.9998,57.93,0.017,0.9958,0.01,,0.9963,0.378,1.0,0.0,0.9999,0.012,0.0679895,0.9903,0.194,1.0,0.0,0.9938,0.711,
step_03,0.0,boxes,7.34,0.9966,37.81,0.123,0.9923,0.4,,0.9713,1.018,0.9998,0.007,0.9969,0.1,0.068045,0.9903,0.194,1.0,0.0,0.9938,0.711,
step_04,0.0,boxes,5.15,0.9962,37.51,0.146,0.9859,0.43,,0.977,0.869,0.9998,0.007,0.9998,0.013,0.067764,0.9903,0.194,1.0,0.0,0.9938,0.711,
step_05,0.0,boxes,5.2,0.9959,37.26,0.165,0.9845,0.46,,0.9783,0.858,0.9998,0.008,0.9965,0.075,0.0677655,0.7842,2.039,1.0,0.0,0.8759,2.497,
