step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,1.0,boxes,3.55,0.8807,28.66,2.79,0.7108,16.19,,0.7735,3.141,0.8856,2.774,0.8807,2.79,0.067804,0.5661,2.598,0.9464,2.479,,,
step_02,1.0,boxes,1.2,0.8766,27.8,3.252,0.6992,22.7,,0.7839,3.502,0.8811,3.24,0.9748,1.88,0.0679895,0.5867,3.065,0.9432,3.069,0.9654,1.811,
step_03,1.0,boxes,7.34,0.8388,26.24,4.035,0.8008,38.56,,0.7751,4.685,0.8471,3.951,0.9306,2.139,0.068057,0.5389,4.12,0.9368,3.79,0.9427,2.714,
step_04,1.0,boxes,5.15,0.8389,25.35,4.731,0.8128,55.73,,0.7385,5.453,0.858,4.594,0.9756,1.746,0.0680625,0.5451,4.843,0.9271,4.64,0.9204,3.632,
step_05,1.0,boxes,5.2,0.8312,24.03,5.572,0.8664,68.86,,0.7477,6.131,0.8501,5.446,0.9764,1.803,0.068145,0.54,5.582,0.9124,5.535,0.806,5.097,
