step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,0.0,auto,89.45,0.9377,21.28,9.339,0.6717,95.54,,0.9361,9.303,0.9575,9.794,0.9377,9.339,0.0682245,0.7665,14.959,0.956,13.514,,,
step_02,0.0,boxes,5.15,0.9196,20.5,9.923,0.6058,95.53,,0.9181,9.866,0.9382,10.639,0.9721,1.796,0.067764,0.7045,15.874,0.9439,14.336,0.9708,1.728,
