step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,0.0,boxes,3.55,0.9977,43.9,0.085,1.0,0.2,,0.9492,1.702,0.9999,0.011,0.9977,0.085,0.0680815,0.9659,0.824,0.9993,0.074,,,
step_02,0.0,boxes,1.2,0.9976,43.4,0.106,0.9951,0.25,,0.9493,2.051,0.9999,0.013,0.9994,0.076,0.0679985,0.9618,1.146,0.9993,0.075,0.9853,1.336,
step_03,0.0,boxes,7.34,0.9893,35.08,0.437,0.9778,1.14,,0.9223,2.655,0.998,0.148,0.9922,0.31,0.068246,0.9504,1.461,0.9993,0.075,0.9853,1.336,
step_04,0.0,boxes,5.15,0.9448,28.67,0.969,1.0248,4.93,,0.7479,4.236,0.9824,0.345,0.9607,0.498,0.0684915,0.9504,1.461,0.9993,0.075,0.9853,1.336,
step_05,0.0,boxes,5.2,0.9426,28.44,1.036,1.0313,5.24,,0.771,3.974,0.9814,0.372,0.9959,0.135,0.0677655,0.9149,2.311,0.9993,0.075,0.9094,2.609,
