step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,3.0,boxes,3.55,0.4763,18.92,6.532,0.7101,46.13,,0.6552,3.7,0.468,6.663,0.4763,6.532,0.04,0.4442,3.061,0.8748,3.552,,,
step_02,5.0,boxes,1.2,0.3503,16.2,9.541,0.6819,62.39,,0.4779,6.12,0.3443,9.705,0.4315,7.191,0.04,0.4248,3.973,0.6831,6.009,0.5195,6.467,
step_03,8.25,boxes,7.34,0.3269,15.52,10.793,0.5454,69.3,,0.2784,12.277,0.3332,10.6,0.4795,6.226,0.04,0.4042,4.826,0.3445,9.671,0.4215,8.926,
step_04,13.0,boxes,5.15,0.3211,14.77,11.987,0.633,73.97,,0.2282,13.864,0.3389,11.628,0.6068,5.417,0.04,0.3812,6.276,0.4115,9.677,0.3165,10.899,
step_05,14.0,boxes,5.2,0.2316,13.08,15.406,0.6658,84.96,,0.1994,15.672,0.2389,15.346,0.3666,11.238,0.04,0.4044,5.364,0.3438,10.557,0.3886,11.476,
