step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,0.0,boxes,3.55,0.9499,32.85,2.074,0.9195,7.42,,0.9244,1.795,0.9511,2.087,0.9499,2.074,0.0678065,0.7867,1.993,0.9901,1.745,,,
step_02,0.0,boxes,1.2,0.9274,29.87,2.941,0.9144,18.7,,0.8938,2.626,0.929,2.956,0.9775,1.701,0.0678,0.7231,2.655,0.9781,2.712,0.9635,1.756,
step_03,0.0,boxes,7.34,0.8948,26.93,3.991,0.9067,39.0,,0.8483,4.378,0.9008,3.94,0.9781,1.844,0.068508,0.6746,3.486,0.9625,3.782,0.9426,2.729,
step_04,0.0,boxes,5.15,0.877,25.38,4.916,0.9756,59.43,,0.8034,5.473,0.8911,4.81,0.9868,1.697,0.0677965,0.6488,4.367,0.9426,4.77,0.9175,3.681,
step_05,0.0,boxes,5.2,0.8556,23.74,5.982,1.0853,74.61,,0.7925,6.423,0.8699,5.882,0.9816,1.79,0.0677955,0.6294,5.352,0.9185,5.811,0.7908,5.868,
