step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,0.0,boxes,3.41,0.8168,25.16,3.317,0.8523,20.53,,0.7913,3.391,0.8178,3.315,0.8168,3.317,0.0680785,0.7125,2.489,0.9376,2.46,,,
step_02,1.41,boxes,1.11,0.8146,26.54,3.579,0.8415,28.6,,0.6518,4.05,0.8209,3.561,0.7334,3.764,0.067763,0.3292,3.761,0.8607,4.192,0.7143,3.686,
step_03,1.41,boxes,7.18,0.7926,25.42,4.304,0.8971,42.38,,0.7073,5.159,0.8015,4.214,0.9671,1.873,0.067982,0.3177,4.602,0.8536,4.803,0.706,4.187,
step_04,0.0,boxes,5.02,0.7835,23.71,5.112,0.937,55.23,,0.6618,6.326,0.8021,4.926,0.7413,3.759,0.067764,0.5118,4.934,0.9123,4.647,0.8977,3.455,
step_05,0.0,boxes,5.04,0.7789,23.03,5.708,0.8426,65.22,,0.6687,6.721,0.7991,5.522,0.9498,1.892,0.0677655,0.499,5.654,0.9061,5.263,0.7889,4.741,
