step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,0.0,boxes,3.55,0.8858,27.82,2.632,0.7769,13.6,,0.7782,3.092,0.8908,2.611,0.8858,2.632,0.067762,0.6392,2.59,0.9649,2.145,,,
step_02,0.0,boxes,1.2,0.8751,26.84,3.271,0.7728,21.85,,0.7749,3.647,0.8799,3.253,0.9752,1.796,0.0679055,0.6202,3.235,0.9581,2.901,0.9629,1.787,
step_03,1.0,boxes,7.34,0.8145,25.51,4.302,0.9556,42.09,,0.7892,4.623,0.8178,4.261,0.8296,3.272,0.0677645,0.5796,4.02,0.8885,4.408,0.7926,3.993,
step_04,1.0,boxes,5.15,0.8119,24.74,4.999,0.987,57.39,,0.7466,5.482,0.8243,4.906,0.9781,1.758,0.0682335,0.5869,4.776,0.8749,5.279,0.7767,4.758,
step_05,0.0,boxes,5.2,0.8211,23.59,5.697,1.0742,68.25,,0.7267,6.388,0.8425,5.541,0.8558,3.169,0.068295,0.5508,5.78,0.9162,5.465,0.8048,5.322,
