step,shift_px,mask_src,edited_area_pct,cum_ssim,cum_psnr,cum_delta_e,cum_sharpness_ratio,cum_collateral_pct,cum_lpips,near_ssim,near_delta_e,far_ssim,far_delta_e,inc_ssim,inc_delta_e,cost_usd,logo_ssim,logo_delta_e,sign_ssim,sign_delta_e,face_ssim,face_delta_e,face_embed_sim
step_01,1.0,boxes,3.55,0.8775,28.58,2.754,0.7292,16.17,,0.7863,2.941,0.8817,2.745,0.8775,2.754,0.0680665,0.5874,2.432,0.9345,2.827,,,
step_02,1.0,boxes,1.2,0.8731,27.66,3.29,0.713,24.05,,0.7941,3.345,0.8769,3.287,0.9733,1.839,0.067763,0.6053,2.812,0.9298,3.398,0.9621,1.827,
step_03,1.0,boxes,7.34,0.8508,25.9,4.129,0.7194,39.87,,0.7992,4.613,0.8575,4.066,0.9787,1.744,0.0677645,0.6137,3.404,0.92,4.131,0.9393,2.655,
step_04,1.0,boxes,5.15,0.8435,24.92,4.9,0.7661,57.55,,0.7612,5.51,0.8592,4.784,0.9854,1.634,0.067764,0.6119,4.041,0.9061,4.956,0.9153,3.556,
step_05,1.0,boxes,5.2,0.8295,23.5,5.872,0.8537,72.13,,0.7579,6.369,0.8457,5.759,0.9812,1.825,0.068124,0.6048,4.791,0.8876,5.905,0.812,5.059,
